Ticker,Nome,Ponderação,Ações,Preço,MainTicker,YFTicker,SetorEconomico,Industria,NomeCompletoParaAuditoria,Pais,Moeda
PROT NO Equity,Protector Forsikring ASA,0.001278,50.451,237.5,PROT,PROT,Healthcare,Biotechnology,PROTEONOMIX INC,United States,USD
ALAB UW Equity,Astera Labs Inc,0.001276,21.729,52.1,ALAB,ALAB,Technology,Semiconductors,"Astera Labs, Inc.",United States,USD
MXL UW Equity,MaxLinear Inc,0.001275,76.115,14.86,MXL,MXL,Technology,Semiconductors,"MaxLinear, Inc",United States,USD
HRMY UQ Equity,Harmony Biosciences Holdings Inc,0.001256,29.877,37.29,HRMY,HRMY,Healthcare,Biotechnology,"Harmony Biosciences Holdings, I",United States,USD
TVTX UQ Equity,Travere Therapeutics Inc,0.001227,74.851,14.54,TVTX,TVTX,Healthcare,Biotechnology,"Travere Therapeutics, Inc.",United States,USD
KPR IS Equity,KPR Mill Ltd,0.001217,89.708,1005.5,KPR,KPRX,Healthcare,Biotechnology,"Kiora Pharmaceuticals, Inc.",United States,USD
ACT UW Equity,Enact Holdings Inc,0.001211,29.841,35.99,ACT,ACT,Financial Services,Insurance—Specialty,"Enact Holdings, Inc.",United States,USD
ATEA NO Equity,Atea ASA,0.001188,79.109,140.8,ATEA,AVIR,Healthcare,Biotechnology,"Atea Pharmaceuticals, Inc.",United States,USD
LBPH UQ Equity,Longboard Pharmaceuticals Inc,0.001171,33.228,31.26,LBPH,LBPH,Healthcare,Biotechnology,"Longboard Pharmaceuticals, Inc.",United States,USD
INVA UW Equity,Innoviva Inc,0.00116,54.558,18.86,INVA,INVA,Healthcare,Biotechnology,"Innoviva, Inc.",United States,USD
MAB LN Equity,Mitchells & Butlers PLC,0.001153,258.463,297,MAB,YMAB,Healthcare,Biotechnology,"Y-mAbs Therapeutics, Inc.",United States,USD
SGH UW Equity,SMART Global Holdings Inc,0.001126,50.225,19.88,SGH,SGH,Technology,Semiconductors,"SMART Global Holdings, Inc.",United States,USD
PRAX UW Equity,Praxis Precision Medicines Inc,0.001116,16.998,58.25,PRAX,PRAX,Healthcare,Biotechnology,"Praxis Precision Medicines, Inc",United States,USD
WOLF UN Equity,Wolfspeed Inc,0.001109,124.704,7.89,WOLF,WOLF,Technology,Semiconductors,"Wolfspeed, Inc.",United States,USD
COGT UW Equity,Cogent Biosciences Inc,0.001091,88.937,10.88,COGT,COGT,Healthcare,Biotechnology,"Cogent Biosciences, Inc.",United States,USD
TGI UN Equity,Triumph Group Inc,0.001088,75.606,12.77,TGI,TGI,Industrials,Aerospace & Defense,"Triumph Group, Inc.",United States,USD
NMRA UW Equity,Neumora Therapeutics Inc,0.001063,73.66,12.8,NMRA,NMRA,Healthcare,Biotechnology,"Neumora Therapeutics, Inc.",United States,USD
ARQT UW Equity,Arcutis Biotherapeutics Inc,0.001031,100.502,9.1,ARQT,ARQT,Healthcare,Biotechnology,"Arcutis Biotherapeutics, Inc.",United States,USD
LMND UN Equity,Lemonade Inc,0.001013,52.36,17.17,LMND,LMND,Financial Services,Insurance—Property & Casualty,"Lemonade, Inc.",United States,USD
RLAY UQ Equity,Relay Therapeutics Inc,0.001007,126.578,7.06,RLAY,RLAY,Healthcare,Biotechnology,"Relay Therapeutics, Inc.",United States,USD
SPR AT Equity,Spartan Resources Ltd/Australia,0.001006,930.481,1.405,SPR,SPR,Industrials,Aerospace & Defense,"Spirit Aerosystems Holdings, In",United States,USD
AMSF UW Equity,AMERISAFE Inc,0.001005,18.599,47.91,AMSF,AMSF,Financial Services,Insurance—Specialty,"AMERISAFE, Inc.",United States,USD
ZYME UW Equity,Zymeworks Inc,0.000992,70.312,12.51,ZYME,ZYME,Healthcare,Biotechnology,Zymeworks Inc.,United States,USD
SPRY UQ Equity,ARS Pharmaceuticals Inc,0.00099,62.507,14.05,SPRY,SPRY,Healthcare,Biotechnology,"ARS Pharmaceuticals, Inc.",United States,USD
MRVI UW Equity,Maravai LifeSciences Holdings Inc,0.000989,108.331,8.1,MRVI,MRVI,Healthcare,Biotechnology,"Maravai LifeSciences Holdings, ",United States,USD
HCI UN Equity,HCI Group Inc,0.00098,8.179,106.25,HCI,HCI,Financial Services,Insurance—Property & Casualty,"HCI Group, Inc.",United States,USD
QLG MK Equity,QL Resources Bhd,0.000977,776.6415,4.61,QLG,QLGN,Healthcare,Biotechnology,"Qualigen Therapeutics, Inc.",United States,USD
DAWN UW Equity,Day One Biopharmaceuticals Inc,0.000977,61.623,14.06,DAWN,DAWN,Healthcare,Biotechnology,"Day One Biopharmaceuticals, Inc",United States,USD
IRON UQ Equity,Disc Medicine Inc,0.000972,18.015,47.87,IRON,IRON,Healthcare,Biotechnology,"Disc Medicine, Inc.",United States,USD
CIBUS SS Equity,Cibus Nordic Real Estate AB publ,0.000969,49.99,175.05,CIBUS,CBUS,Healthcare,Biotechnology,"Cibus, Inc.",United States,USD
CDRE UN Equity,Cadre Holdings Inc,0.000965,22.885,37.4,CDRE,CDRE,Industrials,Aerospace & Defense,"Cadre Holdings, Inc.",United States,USD
ACE IM Equity,ACEA SpA,0.000938,43.051,17.36,ACE,ACET,Healthcare,Biotechnology,"Adicet Bio, Inc.",United States,USD
AOSL UW Equity,Alpha & Omega Semiconductor Ltd,0.000929,22.992,35.86,AOSL,AOSL,Technology,Semiconductors,Alpha and Omega Semiconductor L,United States,USD
ELVN UW Equity,Enliven Therapeutics Inc,0.000907,33.219,24.23,ELVN,ELVN,Healthcare,Biotechnology,"Enliven Therapeutics, Inc.",United States,USD
DCO UN Equity,Ducommun Inc,0.000884,12.325,63.6,DCO,DCO,Industrials,Aerospace & Defense,Ducommun Incorporated,United States,USD
VIR UW Equity,Vir Biotechnology Inc,0.000868,106.096,7.26,VIR,VIR,Healthcare,Biotechnology,"Vir Biotechnology, Inc.",United States,USD
PLM IS Equity,Poly Medicure Ltd,0.000861,27.546,2317,PLM,PLMR,Financial Services,Insurance—Property & Casualty,"Palomar Holdings, Inc.",United States,USD
RCUS UN Equity,Arcus Biosciences Inc,0.000844,49.008,15.27,RCUS,RCUS,Healthcare,Biotechnology,"Arcus Biosciences, Inc.",United States,USD
ENA PW Equity,Enea SA,0.000838,247.539,11.51,ENA,ENTA,Healthcare,Biotechnology,"Enanta Pharmaceuticals, Inc.",United States,USD
CGEM UW Equity,Cullinan Therapeutics Inc,0.000834,45.274,16.34,CGEM,CGEM,Healthcare,Biotechnology,"Cullinan Therapeutics, Inc.",United States,USD
PRA UN Equity,ProAssurance Corp,0.000821,50.286,14.49,PRA,PRA,Financial Services,Insurance—Property & Casualty,ProAssurance Corporation,United States,USD
ARV NZ Equity,Arvida Group Ltd,0.000805,682.506,1.67,ARV,ARVN,Healthcare,Biotechnology,"Arvinas, Inc.",United States,USD
STC KK Equity,Kuwait Telecommunications Co,0.000798,393.221,550,STC,STC,Financial Services,Insurance—Property & Casualty,Stewart Information Services Co,United States,USD
RGR UN Equity,Sturm Ruger & Co Inc,0.000783,16.53,42.04,RGR,RGR,Industrials,Aerospace & Defense,"Sturm, Ruger & Company, Inc.",United States,USD
IMNM UR Equity,Immunome Inc,0.00078,48.544,14.26,IMNM,IMNM,Healthcare,Biotechnology,"Immunome, Inc.",United States,USD
CK TB Equity,CH Karnchang PCL,0.000771,1120.71,20,CK,CKPT,Healthcare,Biotechnology,"Checkpoint Therapeutics, Inc.",United States,USD
SILO IJ Equity,Siloam International Hospitals Tbk PT,0.000747,3335.063,3010,SILO,SILO,Healthcare,Biotechnology,"Silo Pharma, Inc.",United States,USD
VVX UN Equity,V2X Inc,0.000744,12.051,54.73,VVX,VVX,Industrials,Aerospace & Defense,"V2X, Inc.",United States,USD
DNTH UR Equity,Dianthus Therapeutics Inc,0.000742,24.66,26.69,DNTH,DNTH,Healthcare,Biotechnology,"Dianthus Therapeutics, Inc.",United States,USD
MDXG UR Equity,MiMedx Group Inc,0.000742,112.265,5.86,MDXG,MDXG,Healthcare,Biotechnology,"MiMedx Group, Inc",United States,USD
ERA FP Equity,Eramet SA,0.000734,8.84,66.15,ERA,ERAS,Healthcare,Biotechnology,"Erasca, Inc.",United States,USD
PLRX UW Equity,Pliant Therapeutics Inc,0.000714,55.92,11.33,PLRX,PLRX,Healthcare,Biotechnology,"Pliant Therapeutics, Inc.",United States,USD
BA TB Equity,Bangkok Airways PCL,0.000703,866.212,23.6,BA,BA,Industrials,Aerospace & Defense,Boeing Company (The),United States,USD
ANAB UW Equity,AnaptysBio Inc,0.000699,19.186,32.34,ANAB,ANAB,Healthcare,Biotechnology,"AnaptysBio, Inc.",United States,USD
OLMA UW Equity,Olema Pharmaceuticals Inc,0.000697,49.88,12.4,OLMA,OLMA,Healthcare,Biotechnology,"Olema Pharmaceuticals, Inc.",United States,USD
AURA IT Equity,Aura Investments Ltd,0.000696,145.218,1592,AURA,AURA,Healthcare,Biotechnology,"Aura Biosciences, Inc.",United States,USD
MRN FP Equity,Mersen SA,0.000692,20.098,27.45,MRN,MRNA,Healthcare,Biotechnology,"Moderna, Inc.",United States,USD
AERO SE Equity,Montana Aerospace AG,0.000689,25.166,20.65,AERO,GE,Industrials,Aerospace & Defense,GE Aerospace,United States,USD
ETNB UQ Equity,89bio Inc,0.000684,81.799,7.42,ETNB,ETNB,Healthcare,Biotechnology,"89bio, Inc.",United States,USD
SRRK UW Equity,Scholar Rock Holding Corp,0.00065,66.98,8.61,SRRK,SRRK,Healthcare,Biotechnology,Scholar Rock Holding Corporatio,United States,USD
SWBI UW Equity,Smith & Wesson Brands Inc,0.000647,44.35,12.94,SWBI,SWBI,Industrials,Aerospace & Defense,"Smith & Wesson Brands, Inc.",United States,USD
ATRO UW Equity,Astronics Corp,0.000637,28.412,19.89,ATRO,ATRO,Industrials,Aerospace & Defense,Astronics Corporation,United States,USD
ORIC UW Equity,ORIC Pharmaceuticals Inc,0.000628,55.675,10,ORIC,ORIC,Healthcare,Biotechnology,"Oric Pharmaceuticals, Inc.",United States,USD
FDMT UW Equity,4D Molecular Therapeutics Inc,0.000626,49.244,11.28,FDMT,FDMT,Healthcare,Biotechnology,"4D Molecular Therapeutics, Inc.",United States,USD
SMT IT Equity,Summit Real Estate Holdings Ltd,0.000621,39.982,5160,SMT,SMTC,Technology,Semiconductors,Semtech Corporation,United States,USD
IBRX UW Equity,ImmunityBio Inc,0.000621,154.669,3.56,IBRX,IBRX,Healthcare,Biotechnology,"ImmunityBio, Inc.",United States,USD
ACHR UN Equity,Archer Aviation Inc,0.000616,187.809,2.91,ACHR,ACHR,Industrials,Aerospace & Defense,Archer Aviation Inc.,United States,USD
LQDA UR Equity,Liquidia Corp,0.000608,52.32,10.31,LQDA,LQDA,Healthcare,Biotechnology,Liquidia Corporation,United States,USD
HCI SJ Equity,Hosken Consolidated Investments Ltd,0.000592,49.225,18376,HCI,HCI,Financial Services,Insurance—Property & Casualty,"HCI Group, Inc.",United States,USD
ADPT UW Equity,Adaptive Biotechnologies Corp,0.000582,129.155,4,ADPT,ADPT,Healthcare,Biotechnology,Adaptive Biotechnologies Corpor,United States,USD
ERAS UW Equity,Erasca Inc,0.000579,187.417,2.74,ERAS,ERAS,Healthcare,Biotechnology,"Erasca, Inc.",United States,USD
ATXS UQ Equity,Astria Therapeutics Inc,0.000575,48.16,10.6,ATXS,ATXS,Healthcare,Biotechnology,"Astria Therapeutics, Inc.",United States,USD
ARCT UQ Equity,Arcturus Therapeutics Holdings Inc,0.000563,23.434,21.31,ARCT,ARCT,Healthcare,Biotechnology,Arcturus Therapeutics Holdings ,United States,USD
TNGX UQ Equity,Tango Therapeutics Inc,0.000559,66.718,7.43,TNGX,TNGX,Healthcare,Biotechnology,"Tango Therapeutics, Inc.",United States,USD
AVIA IJ Equity,Avia Avian Tbk PT,0.000552,15089.93,492,AVIA,ACHR,Industrials,Aerospace & Defense,Archer Aviation Inc.,United States,USD
SANA UW Equity,Sana Biotechnology Inc,0.000551,130.092,3.76,SANA,SANA,Healthcare,Biotechnology,"Sana Biotechnology, Inc.",United States,USD
RGNX UW Equity,REGENXBIO Inc,0.000551,45.108,10.83,RGNX,RGNX,Healthcare,Biotechnology,REGENXBIO Inc.,United States,USD
AMBC UN Equity,Ambac Financial Group Inc,0.00055,43.648,11.18,AMBC,AMBC,Financial Services,Insurance—Specialty,"Ambac Financial Group, Inc.",United States,USD
CEL IT Equity,Cellcom Israel Ltd,0.000547,106.913,1700,CEL,CVM,Healthcare,Biotechnology,Cel-Sci Corporation,United States,USD
HEX NO Equity,Hexagon Composites ASA,0.000542,121.105,41.95,HEX,HXL,Industrials,Aerospace & Defense,Hexcel Corporation,United States,USD
TYRA UW Equity,Tyra Biosciences Inc,0.000524,19.964,23.28,TYRA,TYRA,Healthcare,Biotechnology,"Tyra Biosciences, Inc.",United States,USD
HUMA UW Equity,Humacyte Inc,0.000512,83.194,5.455,HUMA,HUMA,Healthcare,Biotechnology,"Humacyte, Inc.",United States,USD
THG LN Equity,THG PLC,0.000501,614.925,54.25,THG,THG,Financial Services,Insurance—Property & Casualty,Hanover Insurance Group Inc,United States,USD
NUVB UN Equity,Nuvation Bio Inc,0.000494,183.266,2.39,NUVB,NUVB,Healthcare,Biotechnology,Nuvation Bio Inc.,United States,USD
ACAD SS Equity,AcadeMedia AB,0.000493,66.53,67,ACAD,ACAD,Healthcare,Biotechnology,ACADIA Pharmaceuticals Inc.,United States,USD
SYR IS Equity,Surya Roshni Ltd,0.000453,48.02,698.8,SYR,SYRS,Healthcare,Biotechnology,"Syros Pharmaceuticals, Inc.",United States,USD
GLS IS Equity,Glenmark Life Sciences Ltd,0.000437,30.631,1057.6,GLS,GLSI,Healthcare,Biotechnology,"Greenwich LifeSciences, Inc.",United States,USD
SAGE UQ Equity,Sage Therapeutics Inc,0.000426,53.819,7.02,SAGE,SAGE,Healthcare,Biotechnology,"Sage Therapeutics, Inc.",United States,USD
ZV IM Equity,Zignago Vetro SpA,0.000425,31.659,10.7,ZV,ZVRA,Healthcare,Biotechnology,"Zevra Therapeutics, Inc.",United States,USD
ALLO UW Equity,Allogene Therapeutics Inc,0.000414,140.179,2.62,ALLO,ALLO,Healthcare,Biotechnology,"Allogene Therapeutics, Inc.",United States,USD
SLRN UW Equity,ACELYRIN Inc,0.000399,74.06,4.78,SLRN,SLRN,Healthcare,Biotechnology,"ACELYRIN, INC.",United States,USD
TPS IS Equity,Tips Industries Ltd,0.00039,41.275,701.35,TPS,TPST,Healthcare,Biotechnology,"Tempest Therapeutics, Inc.",United States,USD
PRTC IT Equity,Priortech Ltd,0.000383,8.299,15340,PRTC,PRTC,Healthcare,Biotechnology,PureTech Health plc,United States,USD
JAS TB Equity,Jasmine International PCL,0.000379,3991.265,2.76,JAS,JSPR,Healthcare,Biotechnology,"Jasper Therapeutics, Inc.",United States,USD
HGTY UN Equity,Hagerty Inc,0.00037,31.034,10.59,HGTY,HGTY,Financial Services,Insurance—Property & Casualty,"Hagerty, Inc.",United States,USD
DNA UN Equity,Ginkgo Bioworks Holdings Inc,0.000347,39.70345,7.76,DNA,DNA,Healthcare,Biotechnology,"Ginkgo Bioworks Holdings, Inc.",United States,USD
CMR PW Equity,ComArch SA,0.000334,3.486,325.5,CMR,CMRX,Healthcare,Biotechnology,"Chimerix, Inc.",United States,USD
PTG TB Equity,PTG Energy PCL,0.00032,912.094,10.2,PTG,PTGX,Healthcare,Biotechnology,"Protagonist Therapeutics, Inc.",United States,USD
AURA TB Equity,Aurora Design PCL,0.000314,589.176,15.5,AURA,AURA,Healthcare,Biotechnology,"Aura Biosciences, Inc.",United States,USD
NVTS UQ Equity,Navitas Semiconductor Corp,0.000312,125.806,2.2,NVTS,NVTS,Technology,Semiconductors,Navitas Semiconductor Corporati,United States,USD
LXRX UW Equity,Lexicon Pharmaceuticals Inc,0.000291,171.177,1.51,LXRX,LXRX,Healthcare,Biotechnology,"Lexicon Pharmaceuticals, Inc.",United States,USD
FHT SP Equity,Frasers Hospitality Trust,0.000287,721.856,0.455,FHT,FHTX,Healthcare,Biotechnology,Foghorn Therapeutics Inc.,United States,USD
ROOT UW Equity,Root Inc/OH,0.000285,6.569,38.5,ROOT,ROOT,Financial Services,Insurance—Property & Casualty,"Root, Inc.",United States,USD
THG TB Equity,Thonburi Healthcare Group PCL,0.000279,382.929,21.2,THG,THG,Financial Services,Insurance—Property & Casualty,Hanover Insurance Group Inc,United States,USD
CKP TB Equity,CK Power PCL,0.000273,2085.144,3.8,CKP,CKPT,Healthcare,Biotechnology,"Checkpoint Therapeutics, Inc.",United States,USD
INA IB Equity,Insolation Energy Ltd,0.000264,5.325,3671.45,INA,INAB,Healthcare,Biotechnology,"IN8bio, Inc.",United States,USD
IGMS UW Equity,IGM Biosciences Inc,0.000261,14.116,16.41,IGMS,IGMS,Healthcare,Biotechnology,"IGM Biosciences, Inc.",United States,USD
MBR PW Equity,Mo-BRUK SA,0.000244,2.81,295,MBR,MBRX,Healthcare,Biotechnology,"Moleculin Biotech, Inc.",United States,USD
GENP MK Equity,Genting Plantations Bhd,0.000237,164.062,5.3,GENP,GNPX,Healthcare,Biotechnology,"Genprex, Inc.",United States,USD
PRME UQ Equity,Prime Medicine Inc,0.000234,60.93,3.41,PRME,PRME,Healthcare,Biotechnology,"Prime Medicine, Inc.",United States,USD
GYRE UR Equity,Gyre Therapeutics Inc,0.000226,15.515,12.95,GYRE,GYRE,Healthcare,Biotechnology,"Gyre Therapeutics, Inc.",United States,USD
AIP SJ Equity,Adcock Ingram Holdings Ltd,0.00021,44.866,7139,AIP,AIP,Technology,Semiconductors,"Arteris, Inc.",United States,USD
SGM IS Equity,Sanghvi Movers Ltd,0.000203,18.571,809.7,SGM,SGMO,Healthcare,Biotechnology,"Sangamo Therapeutics, Inc.",United States,USD
AEON MK Equity,Aeon Co M Bhd,0.000191,451.539,1.55,AEON,AEON,Healthcare,Biotechnology,"AEON Biopharma, Inc.",United States,USD
PWI IS Equity,Precision Wires India Ltd,0.000182,64.906,208.29,PWI,PWI.F,Technology,Semiconductors,POWER INTEGRATIONS DL-001,United States,EUR
TXT PW Equity,Text SA,0.000178,8.749,69.2,TXT,TXT,Industrials,Aerospace & Defense,Textron Inc.,United States,USD
FUSION IS Equity,Fusion Finance Ltd,0.000172,52.008,245.8,FUSION,BMEA,Healthcare,Biotechnology,"Biomea Fusion, Inc.",United States,USD
ASTRO MK Equity,Astro Malaysia Holdings Bhd,0.000163,2176.576,0.275,ASTRO,ATRO,Industrials,Aerospace & Defense,Astronics Corporation,United States,USD
EVEX UN Equity,Eve Holding Inc,0.000156,43.372,3.2,EVEX,EVEX,Industrials,Aerospace & Defense,"Eve Holding, Inc.",United States,USD
